entity,pc1_score,l2_delta
Dictaen,3.9318988,78.38689
Waddings,3.9208424,87.15439
Grifters,3.91827,65.14861
Shotguns,3.915434,45.56829
Monotrochian,3.9031267,78.85742
Prepositorial,3.8955653,132.16602
Despond,3.885553,47.018196
Spaghetti,3.8833606,57.562725
Skeeters,3.8809867,109.24512
Euaster,3.8780584,55.1065
Evanescence,3.8728573,73.54809
Jetsam,3.8706465,57.882435
Protension,3.8502576,75.303696
Premierships,3.848401,83.73934
Romipetal,3.8401794,78.99247
Deaden,3.8343563,58.45186
Fugacious,3.8162136,70.50573
Exactest,3.8108375,100.60594
Cubanize,3.8034182,57.45569
Corporalities,3.7937524,41.500008
Arugolas,3.7899404,116.133
Upscrew,3.7864196,82.01715
Abnormalise,3.7677872,54.773117
Encheer,3.754679,102.734314
Nationless,3.7236972,52.310387
Chaconne,3.708587,56.29348
Durban,3.7052138,48.64055
Periwinkler,3.6988406,108.91623
Carcinologist,3.695933,63.83873
Prowarden,3.69355,60.909744
Banish,3.6869152,42.11952
Bodywise,3.6848495,56.229126
Nonprofession,3.6796157,48.246964
Ernest,3.6737692,65.39756
Jigget,3.6562283,87.27023
Barkstone,3.637856,56.383133
Chechem,3.630401,82.522606
Heresiologist,3.6220212,82.3292
Teamwise,3.614241,75.07429
Aptnesses,3.6138637,46.61698
Pronouncer,3.5854886,49.447876
Marshlands,3.5812368,41.838726
Chondrectomy,3.5780492,52.2072
Quantimeter,3.573639,55.615658
Miliary,3.5703926,62.34635
Yellowman,3.5574787,56.216095
Gemmologists,3.5528586,42.78334
Skimmings,3.5446343,84.06593
Circaetus,3.540155,73.81884
Lawsuits,3.5308473,49.71976
Ephoral,3.5267732,81.16965
Nonlicit,3.524467,71.21864
Quixotry,3.524121,71.77557
Hubbub,3.520731,54.555786
Stronghand,3.518238,72.64187
Postdiastolic,3.51746,66.528656
Toastee,3.5152326,91.27641
Canoeist,3.513457,50.54629
Haoles,3.5133567,72.86939
Extensor,3.5133228,47.166687
Scaphion,3.50852,57.70976
Acupuncturists,3.5021143,45.155045
Inexpensive,3.49812,44.78348
Epistemologist,3.494315,61.632717
Dispassion,3.4897618,47.969868
Petrogenetic,3.4878178,59.321774
Acroatic,3.4875605,79.419525
Otectomy,3.4839115,64.80378
Chaprassi,3.4798903,79.519226
Metabolic,3.4767907,41.145973
Homonomy,3.471484,63.897434
Parody,3.4675457,45.4953
Postscripts,3.4594848,46.478584
Disunite,3.4468722,95.75891
