,delta_org_minus_base
h122,-2.2707507014274597e-05
h180,-2.2931396961300976e-05
h737,-2.2979453206062317e-05
h225,-2.3177638650007104e-05
h503,-2.370737493040398e-05
h213,-2.382993698113456e-05
h111,-2.3830309510253223e-05
h531,-2.3860111832640918e-05
h371,-2.393350005147621e-05
h340,-2.4339556694008557e-05
h629,-2.4595856666587146e-05
h570,-2.480745315547317e-05
h457,-2.5013834238030164e-05
h708,-2.5046616792701037e-05
h673,-2.5112554430939404e-05
h301,-2.5151669979073255e-05
h683,-2.531930804250404e-05
h375,-2.5577470660120838e-05
h93,-2.6122108101933605e-05
h219,-2.6258453726724085e-05
h625,-2.630352973931327e-05
h696,-2.652108669276565e-05
h498,-2.654828131198883e-05
h556,-2.699382603166267e-05
h265,-2.7723610401153564e-05
h316,-2.7786567807108753e-05
h727,-2.8070807456925806e-05
h176,-2.814307808873817e-05
h345,-2.831257879731819e-05
h643,-2.86102294921875e-05
h86,-2.8643012046858374e-05
h751,-2.868324518201515e-05
h569,-2.8687715530439917e-05
h554,-2.892129123210907e-05
h135,-2.895556390281051e-05
h739,-2.8967857360839844e-05
h648,-2.915449440477058e-05
h772,-2.9236823320344385e-05
h760,-3.0183419585161353e-05
h98,-3.0183792114280017e-05
h237,-3.0430406331993787e-05
h576,-3.0535459518366004e-05
h177,-3.066584467892319e-05
h349,-3.0853226780869214e-05
h174,-3.1021609902315284e-05
h550,-3.1306967139266284e-05
h79,-3.1572207808583386e-05
h610,-3.185495734214783e-05
h46,-3.186948597422301e-05
h542,-3.188326954839393e-05
h605,-3.204233944409385e-05
h691,-3.207139670846626e-05
h193,-3.237389028076798e-05
h25,-3.2551586627960205e-05
h483,-3.306604921815559e-05
h466,-3.324896097189889e-05
h485,-3.342479467383086e-05
h300,-3.3529102802298816e-05
h351,-3.3792853355363306e-05
h472,-3.390908241263091e-05
h649,-3.4692138433434216e-05
h145,-3.481581807129874e-05
h612,-3.492198884480491e-05
h42,-3.576725721365914e-05
h124,-3.577060997483894e-05
h632,-3.5939365625403674e-05
h287,-3.633089363574982e-05
h455,-3.668628633024529e-05
h474,-3.670416772361129e-05
h160,-3.671199083332688e-05
h318,-3.6735087633132935e-05
h513,-3.691278398032516e-05
h296,-3.7103891372680664e-05
h368,-3.754720091819763e-05
h709,-3.767944872379303e-05
h153,-3.7743151187874524e-05
h601,-3.786683082585007e-05
h233,-3.821030259132385e-05
h451,-3.82993370294793e-05
h291,-3.855340182778999e-05
h726,-3.873296082024247e-05
h366,-3.900937736034393e-05
h432,-3.90108674763745e-05
h127,-3.9045512676194605e-05
h426,-3.91155481338501e-05
h303,-3.919266164309487e-05
h31,-3.9239227771825647e-05
h220,-3.930814564234719e-05
h96,-3.949329257002532e-05
h12,-3.959909081452384e-05
h313,-3.997907042507798e-05
h60,-3.9983913302399365e-05
h374,-4.0199980139710156e-05
h717,-4.030130803578391e-05
h97,-4.069022834307656e-05
h575,-4.083476960659027e-05
h661,-4.090294241909653e-05
h35,-4.0981546044371875e-05
h435,-4.120171070098877e-05
h453,-4.1830167174294886e-05
h552,-4.192329943175643e-05
h285,-4.2433664202645716e-05
h334,-4.247836768633828e-05
h681,-4.2715668678305896e-05
h437,-4.275552928445503e-05
h492,-4.3025240302085876e-05
h194,-4.368685185907051e-05
h80,-4.414133727548286e-05
h6,-4.4186413288072046e-05
h149,-4.425644874572754e-05
h298,-4.50417399405767e-05
h778,-4.508160054683685e-05
h211,-4.522949457164138e-05
h423,-4.546381533143684e-05
h341,-4.626810550689697e-05
h269,-4.629939794542626e-05
h382,-4.6431645751021655e-05
h365,-4.6730786562032556e-05
h348,-4.677064716818169e-05
h104,-4.728399217124313e-05
h656,-4.729554057125718e-05
h530,-4.736557602891267e-05
h268,-4.7434493899323193e-05
h295,-4.810839891433716e-05
h598,-4.870034754278496e-05
h223,-4.879161715509728e-05
h47,-4.955343902113274e-05
h239,-4.9593672156289514e-05
h713,-5.0084665417671204e-05
h201,-5.0608441233723767e-05
h660,-5.074851214881271e-05
h682,-5.0970539450689856e-05
h279,-5.113482475282982e-05
h723,-5.113631486886039e-05
h512,-5.158856511111587e-05
h364,-5.229413509366676e-05
h636,-5.2684172987982336e-05
h274,-5.2765756845429834e-05
h136,-5.294345319273308e-05
h545,-5.3224340081259314e-05
h721,-5.340017378330231e-05
h679,-5.368143320083618e-05
h662,-5.368925631055177e-05
h410,-5.433112382879912e-05
h465,-5.4887682199411536e-05
h389,-5.494095385072395e-05
h600,-5.536749959000886e-05
h65,-5.5368617176920765e-05
h486,-5.59147447347641e-05
h254,-5.639418959624276e-05
h680,-5.673989653587341e-05
h473,-5.686543881888717e-05
h747,-5.7369470596313477e-05
h108,-5.772858858110741e-05
h562,-5.797371268279061e-05
h543,-5.809105932708114e-05
h187,-5.904473364348739e-05
h240,-5.91818243265152e-05
h243,-5.9696286916710584e-05
h609,-5.98900020122306e-05
h478,-5.989558994778932e-05
h414,-6.119310855867699e-05
h110,-6.156228482723236e-05
h553,-6.160363554952308e-05
h580,-6.166175007815689e-05
h344,-6.171241402630478e-05
h302,-6.266608834260001e-05
h654,-6.284229457376167e-05
h599,-6.292313337319388e-05
h746,-6.332769989969567e-05
h232,-6.344728171825409e-05
h407,-6.378255784511566e-05
h781,-6.380453705789879e-05
h692,-6.508938968174949e-05
h507,-6.649717688567147e-05
h286,-6.686002016065284e-05
h454,-6.7372620105699e-05
h738,-6.7930668592453e-05
h557,-6.838403642184243e-05
h722,-6.931200623516709e-05
h651,-6.93451613188456e-05
h618,-7.158666849138573e-05
h718,-7.226243615154893e-05
h170,-7.2424486279421e-05
h361,-7.269978523261056e-05
h469,-7.280744612214729e-05
h753,-7.290206849575043e-05
h659,-7.348209619528756e-05
h558,-7.353276014332444e-05
h304,-7.406994700431824e-05
h283,-7.42446631193383e-05
h362,-7.438473403453827e-05
h82,-7.446855306625366e-05
h685,-7.449574768547684e-05
h209,-7.482394576074913e-05
h13,-7.498599588873223e-05
h422,-7.498860359189674e-05
h266,-7.520131766802773e-05
h729,-7.528252899646759e-05
h652,-7.546357810495063e-05
h479,-7.576122879981995e-05
h628,-7.589571177957222e-05
h631,-7.60287046431829e-05
h191,-7.617101073265076e-05
h292,-7.640980184075996e-05
h724,-7.728226482861533e-05
h640,-7.739700376985237e-05
h732,-7.747635245325402e-05
h255,-7.814057171351418e-05
h55,-7.821992039680481e-05
h126,-7.825344800949097e-05
h115,-7.907487452030182e-05
h776,-7.910318672654792e-05
h37,-7.919892668717399e-05
h676,-7.97715038061142e-05
h714,-7.988065481179252e-05
h192,-7.988475263120964e-05
h163,-7.995553314688042e-05
h95,-8.132494986057281e-05
h559,-8.13569873572284e-05
h527,-8.164346218109131e-05
h450,-8.174367249003112e-05
h607,-8.181557059283584e-05
h78,-8.21426510810852e-05
h297,-8.239373564722374e-05
h227,-8.30385833978653e-05
h518,-8.31071287393792e-05
h415,-8.36402177810669e-05
h589,-8.380040526390076e-05
h84,-8.390396833424241e-05
h560,-8.488595485678374e-05
h703,-8.53855162858963e-05
h19,-8.544847369196251e-05
h504,-8.55483114720057e-05
h41,-8.570291101939187e-05
h206,-8.668266236777633e-05
h321,-8.6955726146698e-05
h780,-8.697770535948113e-05
h367,-8.821934461589187e-05
h668,-8.835606276991204e-05
h186,-8.871443569657966e-05
h587,-8.920207619667053e-05
h23,-8.927136659619972e-05
h394,-8.959732949731514e-05
h22,-8.960478007791206e-05
h671,-8.963532745831504e-05
h61,-9.01728868484275e-05
h357,-9.052827954292297e-05
h330,-9.082108736035988e-05
h481,-9.093470871446296e-05
h81,-9.137317538254752e-05
h701,-9.27221029997094e-05
h549,-9.282119572162628e-05
h603,-9.32198017835617e-05
h10,-9.474605321879714e-05
h461,-9.586252272131279e-05
h515,-9.666718542566954e-05
h133,-9.743981063359275e-05
h386,-9.797103703024224e-05
h342,-0.00010226517915723488
h487,-0.0001029428094625473
h514,-0.00010421276092531517
h505,-0.00010636709630484908
h393,-0.00010701380670075089
h310,-0.00010743960738179847
h468,-0.00010764263570306465
h182,-0.0001077745109796524
h114,-0.00010858140885827705
h30,-0.00010875463485715553
h664,-0.0001093003898858802
h463,-0.0001096494495869127
h519,-0.00011020004749295875
h438,-0.00011079087853427261
h370,-0.00011109709739676177
h202,-0.00011137761175639138
h401,-0.00011150017380712196
h76,-0.00011160783469676971
h150,-0.00011168085038670839
h645,-0.00011619478464131028
h585,-0.00011671185493467018
h522,-0.00011724196374418572
h488,-0.00011783577501767173
h758,-0.0001206945627927336
h548,-0.00012128315865989059
h210,-0.00012228861451146766
h183,-0.0001229606568813324
h107,-0.00012475773692133263
h299,-0.0001252356916666697
