entity,pc1_score,l2_delta
Disunite,3.4468715,95.75892
Megarensian,3.4437935,83.909935
Cornmeal,3.4394946,50.73536
Alumite,3.426088,52.790382
Erectile,3.4194689,40.16911
Wheretill,3.4176219,124.50008
Gemmate,3.4170463,67.161835
Collyria,3.398619,67.681244
Enclitic,3.3955512,64.915436
Preclaimant,3.3928928,66.64258
Mesopelagic,3.392015,56.95526
Postface,3.386005,45.698982
Bacterioidal,3.3856401,84.07777
Tetrachlorides,3.3833907,60.52249
Dacoitage,3.3796887,123.75494
Galleyworm,3.375458,63.550415
Traitorwise,3.3685753,70.925415
Honourless,3.3678849,72.78085
Beqwete,3.360757,69.79222
Navels,3.3547146,92.06057
Bitonalities,3.3521118,76.6302
Degummer,3.3391023,62.01926
Unpropellent,3.3304114,77.15595
Doctoral,3.324711,51.334538
Overdebilitate,3.3236032,66.334435
Anomoeanism,3.3232923,50.29624
Assigns,3.3201084,42.984177
Primogenial,3.314926,65.21473
Desecrations,3.2882957,48.97217
Applicative,3.2872496,46.632557
Wavelet,3.2826357,39.78779
Polyglottonic,3.275333,68.12094
Sanhedrim,3.2723742,108.67939
Scutch,3.2711377,69.27839
Incunabulist,3.2668009,83.91035
Multiengine,3.26672,50.77606
Pareoean,3.257261,79.86751
Modifies,3.256191,69.331436
Preacherize,3.255848,101.46753
Yeomen,3.2552118,58.305202
Flexion,3.246168,45.813545
Herbaceous,3.2439246,51.407974
Limace,3.2372096,59.100906
Almsgiver,3.2362251,51.87902
Midlatitude,3.2229447,54.944054
Membranous,3.2216585,65.49309
Chytrid,3.2189355,48.365532
Flicks,3.2125258,88.3958
Colonial,3.2107983,51.235977
Bimetallism,3.2057238,62.649742
Neurology,3.1971362,44.91972
Rehoist,3.1785083,84.432785
Dawson,3.1761663,68.34867
Lymphatic,3.1743107,51.40118
Tillman,3.1739097,54.87518
Intertissue,3.1707644,71.46673
Presuppress,3.1619663,88.26278
Handlooms,3.1590598,45.331272
Disability,3.156959,47.393677
Chestnutty,3.1533132,55.687973
Softie,3.1531944,50.25661
Tetrole,3.1494124,55.34302
Euclidean,3.1486022,38.658337
Unmonarchical,3.1480536,58.395008
Schemas,3.1369443,48.106007
Theatres,3.1347892,38.41558
Unvoluminous,3.128084,62.02083
Teletactile,3.1209388,90.4787
Lysine,3.1201513,64.942375
Fimetic,3.1179886,90.383095
Chirographic,3.1143122,49.558426
Prefurlough,3.1134596,112.282104
Hellholes,3.111551,52.634495
Fictionize,3.106193,67.881935
Ramekin,3.0901935,53.313553
Erosional,3.0894878,61.26331
Topographics,3.0731194,58.663013
Hijacks,3.07051,100.0374
Sometime,3.0673692,85.664375
Enervates,3.0647311,101.68596
Expatriations,3.0636048,79.063484
Econometrician,3.062633,55.99847
Hydrocarbonic,3.050846,78.61476
Detenus,3.0422537,57.53191
Outlets,3.0413866,74.2414
Executorship,3.0377345,104.99923
Tornado,3.033435,42.614483
Coggie,3.0229447,63.691357
Cervical,3.0197685,40.670227
Fuseboard,3.0187602,72.07418
Connexity,2.9990969,51.452885
Collectivize,2.9967191,61.085457
Decameronic,2.99436,58.838406
Barbra,2.9940042,87.33308
Bawlers,2.9898782,60.008236
Perreia,2.9868648,63.045563
Reassume,2.9806707,70.4424
Pargana,2.9705377,69.92725
Wither,2.9700935,63.461967
Diamondize,2.9697578,57.85988
Antiquary,2.9630606,56.216736
Quiets,2.9621518,58.265175
Disconsonancy,2.9554822,57.387157
Adversarial,2.9523482,49.957943
Whitherward,2.948991,85.49083
Cystoidea,2.9441588,51.13769
Eurasian,2.9409032,53.97994
Supercelestial,2.93529,64.63337
Pariglin,2.9264455,100.729195
Asphodel,2.9218545,64.67762
Disablers,2.91964,79.17036
Nucleophilic,2.917659,46.19913
Transmuscle,2.915874,64.83465
Arriero,2.9137995,52.66024
Timerau,2.9114742,90.01284
Swordtail,2.9111333,45.971275
Sorbate,2.9111104,85.103455
Enlight,2.9080396,49.937187
Caldera,2.9039397,49.556366
Phillumenist,2.8965743,89.45073
Ecumenic,2.8963952,50.906887
Ballutes,2.8953338,102.7523
Sandkey,2.8936934,90.379585
Crowns,2.8934305,39.566444
Meager,2.8898773,60.589138
Septate,2.889214,68.79665
Humiture,2.88754,62.04046
Empathizes,2.883841,56.87722
Easter,2.8809235,37.131283
Microgauss,2.8788042,59.02817
Hymenopter,2.87139,45.289497
Slojds,2.8699613,110.36463
Guider,2.863738,48.631737
Eclipsareon,2.856613,114.43529
Potsies,2.8521023,57.09608
Predacity,2.8498166,82.106064
Petals,2.8479915,77.16019
Prisms,2.8456757,44.472202
Misnarrate,2.8427627,83.715
Unneural,2.8415234,65.362236
Smorebro,2.8393164,77.175705
Metroptosis,2.8373349,92.40683
Dimmer,2.8366191,46.332752
Bumkins,2.835088,70.894
Homeric,2.8311267,55.14895
Neoterical,2.8296533,75.50618
Alnicoes,2.8254404,77.91823
Discontinuer,2.8160534,55.81823
Hastile,2.8139553,85.291275
Condemnatory,2.8114238,55.960567
Gateworks,2.8095105,81.54306
Rivell,2.8068538,52.143635
Postlude,2.8026304,45.061234
Singles,2.7939148,48.30018
Excogitates,2.7931564,139.00089
Recommender,2.7923598,49.900227
Lactesce,2.7922084,92.99574
Aurums,2.791329,65.89302
Prolongs,2.7728305,68.003525
Thoron,2.772721,60.630157
Kiters,2.7636077,60.510773
Tachyon,2.7620175,51.672585
Enhamper,2.7595172,81.75428
Copartner,2.7416267,78.85372
Relativistic,2.735387,48.298744
Reforbid,2.7346509,68.83818
Haemacytometer,2.728085,63.781605
Juiceful,2.726234,84.73441
