entity,pc1,pc2,pca_r,u1,u2,umap_r
Flavescence,-1.9247718,5.848191,6.1567907,-2.1176298,0.4977505,0.9302187
Hulverhead,-6.544051,1.9113203,6.8174596,-2.7376497,-1.5184846,1.3174002
Eigenstate,7.903384,16.289139,18.105234,-0.5920243,-0.45298567,2.1543174
Atreptic,1.3484945,-15.468982,15.527648,-2.702378,1.2392136,1.4406077
Cuarteron,1.2199663,-6.0949135,6.21581,-3.9903064,-0.9617629,1.4707274
Uninceptive,-1.771034,2.6519783,3.188973,-1.9609343,-0.2780481,0.7744635
Vocalistic,1.5985807,1.7855016,2.3965545,-2.1575332,-1.2646039,1.208535
Objector,4.485829,-6.583205,7.966257,-1.266513,0.77205414,1.7588077
Topman,-13.90331,-39.85758,42.212894,-4.8555846,1.8001585,2.918302
Reliabilities,2.1974695,-1.1614467,2.4855244,-3.1656554,1.3997828,1.6586907
Flandan,-2.013637,9.396946,9.6102705,-2.2222612,-1.2973475,1.2087816
Cuneiform,5.081984,-9.343947,10.636538,-3.0483398,0.26292104,0.5618363
Polymixiid,-1.7438297,5.274475,5.55527,-2.408683,-0.92486167,0.7925189
Melanopathia,1.4852103,7.7965455,7.9367476,-2.029229,-1.5346869,1.5072275
Homeric,2.831126,-2.4439566,3.74008,-2.9255288,-0.7784558,0.6090676
Tresis,-5.886778,-6.441497,8.726228,-2.985075,0.15186201,0.4345666
Unknowability,-1.7927861,-13.584085,13.701879,-3.242649,2.0864918,2.3439872
Pyromucyl,-16.186787,13.762139,21.246376,-1.8136971,-3.0137346,2.9586153
Lanuginose,-3.6470916,-3.1103175,4.7932615,-3.350152,0.13083638,0.70201856
Caulomic,-5.279879,-13.288849,14.299324,-2.6510198,1.505446,1.7084441
Ecstatic,1.1068323,2.5745628,2.8024004,-2.64183,-0.19283244,0.09011541
Cassegrain,0.4768803,-17.956264,17.962595,-3.769279,1.8077953,2.2610846
Dishwares,-0.48140472,16.13979,16.146967,-1.1767044,-2.3540614,2.6557188
Sammer,-8.90362,-14.74442,17.22418,-3.3543382,1.3610557,1.6817168
Nonsupervision,4.952224,33.15058,33.518436,-0.71211606,-1.9604099,2.6783116
Narcissistic,1.3194488,13.237942,13.3035345,-1.0106488,-0.9656175,1.8830941
Dzungar,-0.80958873,11.857595,11.8852005,-3.2598789,-1.2863526,1.2070177
Sapromic,-0.5633783,-25.837387,25.843529,-4.567854,1.5907599,2.5656796
Outbalances,-0.60812116,-8.973565,8.994148,-0.64262986,0.39635798,2.1726956
Introdden,-6.48779,-7.9720426,10.27837,-3.263678,1.3160002,1.6077102
Ubiquity,-1.8873562,37.853374,37.9004,-0.9406094,-2.0703838,2.588774
Ostreidae,-4.315024,3.9346204,5.8395777,0.4477705,1.3181472,3.523675
Horticulturist,4.2643137,5.089411,6.639764,-3.0369716,-0.37305197,0.35048667
Guillemet,-0.5315558,20.722881,20.729698,-1.4079015,-2.5476334,2.6941257
Deaneries,1.000691,-18.450087,18.477203,-3.9610972,2.1269176,2.6327565
Carryings,1.7875499,2.6581197,3.2032688,-2.187882,-1.063301,1.0193062
Microgauss,2.8788009,-3.769072,4.7427206,-2.7686603,-0.2255185,0.04441134
Masora,-6.0906134,-9.288863,11.107591,-4.7892795,-0.23230088,2.0579505
